d16-all,d50-all,d84-all,d16-mud,d50-mud,d84-mud,avgDepth [m],avgTemp [C],avgSpC [uS/cm]
33.55969958,58.27274915,111.0206015,33.55969958,58.27274915,111.0206015,6.447039872,6.16981689,215.7984918
39.36390771,71.95962366,299.7210035,39.36390771,71.95962366,299.7210035,7.980351376,6.163582264,215.6391883
35.04068576,60.70267198,101.8281934,35.04068576,60.70267198,101.8281934,10.82184675,6.172237829,215.7338902
37.4306391,66.71953987,113.2715983,37.4306391,66.71953987,113.2715983,12.06501799,6.188147503,215.7756373
40.34421724,73.31775228,117.9737691,40.34421724,73.31775228,117.9737691,12.87165097,6.165456649,215.5997108
37.4441838,71.83583652,162.1382486,37.4441838,71.83583652,162.1382486,14.2221397,6.189059517,215.6200032
37.03317564,67.3073353,127.613979,37.03317564,67.3073353,127.613979,15.26911085,6.166557922,215.5987581
32.5299849,58.19898478,90.12807317,32.5299849,58.19898478,90.12807317,15.61240008,6.161809167,215.5346212
33.42271097,62.0905633,104.5540925,33.42271097,62.0905633,104.5540925,15.59767383,6.178348049,215.680995
35.7496595,62.26051968,102.0180921,35.7496595,62.26051968,102.0180921,15.5920921,6.170644668,215.5394132
33.95737,62.04508505,114.5389225,33.95737,62.04508505,114.5389225,15.59966625,6.159318483,215.4897027
33.9792013,60.71309164,103.8772375,33.9792013,60.71309164,103.8772375,15.57647307,6.158198538,215.4498601
40.75883004,82.90136043,153.1145186,40.75883004,82.90136043,153.1145186,15.58672265,6.166309521,215.5497949
37.57500709,68.62136377,117.4193502,37.57500709,68.62136377,117.4193502,15.62413274,6.166209139,215.582237
38.17243563,73.02476442,149.0988178,38.17243563,73.02476442,149.0988178,16.16570454,6.158503599,215.5396789
40.03571046,79.38744811,146.8682307,40.03571046,79.38744811,146.8682307,16.69633315,6.164981823,215.5207668
35.98393849,64.47661738,103.7608808,35.98393849,64.47661738,103.7608808,17.33712254,6.180329554,215.6227194
36.76252099,63.92204448,113.3748812,36.76252099,63.92204448,113.3748812,18.11714323,6.17025008,215.5761555
38.78940201,72.120389,136.5510519,38.78940201,72.120389,136.5510519,18.52047585,6.156110972,215.4371173
42.08623001,87.32779327,204.2283887,42.08623001,87.32779327,204.2283887,18.54226127,6.158244953,215.4911488
38.1435601,68.38932699,118.0458802,38.1435601,68.38932699,118.0458802,18.53258995,6.179451955,215.6699636
43.2015067,89.92356086,169.8012418,43.2015067,89.92356086,169.8012418,18.4890067,6.160807941,215.5651619
39.05784523,69.13638771,133.8807062,39.05784523,69.13638771,133.8807062,18.48113198,6.166227738,215.5375736
38.90270695,77.25514267,150.1090484,38.90270695,77.25514267,150.1090484,18.73801103,6.167252273,215.5072778
37.63314915,65.41640013,121.6342719,37.63314915,65.41640013,121.6342719,19.22941267,6.160892032,215.5097762
38.22561923,69.20896929,134.3983843,38.22561923,69.20896929,134.3983843,19.430745,6.169453144,215.5435208
40.13705398,74.38609744,296.699242,40.13705398,74.38609744,296.699242,19.49644725,6.167012702,215.4528582
33.73332449,60.42118487,100.4684252,33.73332449,60.42118487,100.4684252,19.50841516,6.157436283,215.3848107
37.46312172,67.721969,116.9002314,37.46312172,67.721969,116.9002314,19.54738881,6.172718229,215.4725535
36.94058385,68.0902403,113.7367006,36.94058385,68.0902403,113.7367006,19.57251306,6.176759483,215.5045983
36.14417133,63.55098328,115.5932608,36.14417133,63.55098328,115.5932608,19.58450856,6.160119729,215.4420926
32.90472606,56.37174104,86.95080237,32.90472606,56.37174104,86.95080237,18.48822646,6.158999034,215.410803
35.24152425,61.13026983,110.7099164,35.24152425,61.13026983,110.7099164,17.4379581,6.152980047,215.4354265
35.64646411,61.71530387,117.4332106,35.64646411,61.71530387,117.4332106,17.45976714,6.155435877,215.4591433
33.80403104,56.01963743,83.05324008,33.80403104,56.01963743,83.05324008,17.40321382,6.165892448,215.5195989
38.25081816,77.27036224,175.2678107,38.25081816,77.27036224,175.2678107,16.3888026,6.153485099,215.4766443
41.84516519,84.35446546,199.4592013,41.84516519,84.35446546,199.4592013,15.12081242,6.150920783,215.4932574
38.64292935,69.09284335,147.6561128,38.64292935,69.09284335,147.6561128,14.03712913,6.151087101,215.5097708
34.58807383,61.89192047,112.1870435,34.58807383,61.89192047,112.1870435,12.7681602,6.153887951,215.5590656
39.0883113,74.75837949,190.1849266,39.0883113,74.75837949,190.1849266,11.66884346,6.155160041,215.5982467
41.15295014,78.93779375,295.4339801,41.15295014,78.93779375,295.4339801,10.66413971,6.155082893,215.5899501
38.81513998,70.7217985,177.377264,38.81513998,70.7217985,177.377264,9.624532978,6.161996792,215.6629535
36.56181757,71.78712617,109.8339926,36.56181757,71.78712617,109.8339926,8.664316911,6.169840275,215.6677417
39.60537511,75.54022908,208.2796627,39.60537511,75.54022908,208.2796627,8.067162525,6.151981529,215.5752777
37.17759387,71.2309284,145.130484,37.17759387,71.2309284,145.130484,6.415675541,6.168298611,215.7106257
29.20312384,47.88523678,79.01161763,29.20312384,47.88523678,79.01161763,2.738501398,6.179455846,215.8150909
29.77952402,50.34494245,90.40135632,29.77952402,50.34494245,90.40135632,1.082944189,6.182017987,215.8745316
29.26606718,47.72188947,78.40819867,29.26606718,47.72188947,78.40819867,0.56679713,6.210441128,207.8317124
