d16-all,d50-all,d84-all,avgDepth [m],avgTemp [C],avgSpC [uS/cm],avgS [ppt]
39.04888747,63.1334052,94.64041279,16.4152175,8.205731037,270.5760656,0.112537181
38.9652259,64.34331286,101.9952325,15.80327018,8.204553978,270.603428,0.112549561
38.88391325,64.68911895,100.6513295,13.94273038,8.206948147,270.6156455,0.112555089
40.31426835,66.95773266,112.5233203,11.98890559,8.20509376,270.6088369,0.112552008
45.80495016,80.19868737,145.7186723,9.466090402,8.207307193,270.5979344,0.112547075
45.90193981,84.14818833,224.0122409,7.808683898,8.213417189,270.587383,0.112542302
45.31502737,85.58330318,158.3931447,5.536409513,8.216459961,270.6084817,0.112551847
35.87825806,62.58187762,106.4091128,3.207262288,8.223247749,270.6680011,0.112578777
41.22276283,74.26135967,159.3783994,1.894568332,8.226102331,270.6894809,0.112588495
36.05424222,61.39724779,101.6090788,1.154413754,8.226213711,270.6814293,0.112584852
39.25172041,73.42287052,161.8660898,0.796582875,8.251671763,270.811525,0.112643715
